kd,M,p,xf,g_meas,g_th,CV2_ext_ratio,CV2_int,eps
0.3,1,0.9341651270960019,9.065834872903476,1.089380512904343,1.0992828058827129,1.1867499018957293,0.5998104429194705,0.9932619281595922
0.3,2,0.9118201178014067,8.176359764396665,1.1802365219733917,1.2129092941124076,1.3929582477998481,0.7179235091705652,0.9807118702249031
0.3,3,0.8864051194655748,7.340784641602753,1.2707321008163677,1.3415707843707643,1.6147600720451794,0.8554926071543023,0.9604764009485728
0.3,5,0.8298875600224627,5.850562199887165,1.4461694987136513,1.6440481698783194,2.0914062190096936,1.1949303973226022,0.8923391776584348
0.3,10,0.6825696352907065,3.174303647092413,1.8268951449827948,2.5231971076621384,3.337545870761707,2.5069835111146537,0.5943290423324191
0.3,17,0.511668520507962,1.3016351513641249,2.1751175080232996,2.5710613050671127,4.731136173709489,5.828040261605174,0.2345575724121633
0.3,30,0.3232383758412605,0.30284872476166447,2.148601324456157,1.2816107281215723,4.616487651454751,14.443310857127793,0.04411162284737984
0.3,52,0.19066685193673846,0.08532369928907653,1.4072563942614011,1.1049516586946158,1.9803705591896001,15.211461041606162,0.0105213204761023
0.3,92,0.10827385946489121,0.03880492922948789,1.1419666024367945,1.0673355420302784,1.304087721081036,26.40379885727502,0.004349615010741455
0.3,162,0.06160312116090565,0.020294371932764347,1.0706184144153115,1.0379369086300858,1.1462237892851554,49.76597826898953,0.0021623759621491943
0.3,285,0.03504888379894816,0.01106811729925348,1.0377992663543631,1.0213624920678588,1.0770273172456544,90.79138689864142,0.0011469671547107041
0.3,501,0.01994778820259345,0.006158110500160031,1.0208441355617244,1.0120787855068314,1.0421227491107643,162.8059743623897,0.0006283372702650734
1.0,1,0.8482404531833321,9.151759546816146,1.0715676997611672,1.0821853330476696,1.148257335171439,0.5824572584601173,0.9861291146636086
1.0,2,0.8239644542848448,8.352071091429789,1.1416810604149465,1.1705407403919137,1.3034356437101968,0.6747149606169172,0.9664327099195253
1.0,3,0.7985093758742798,7.604471872376639,1.2095943608674555,1.263805899298112,1.463118517842348,0.7767683061771831,0.940315617093412
1.0,5,0.7458927469228703,6.270536265385126,1.3367013529330993,1.456949641196848,1.786770506933178,1.0100459100662063,0.8687094909227626
1.0,10,0.6184801826983923,3.815198173015554,1.590745796429787,1.831279249641227,2.530472188859038,1.753284980879673,0.6178636048127011
1.0,17,0.47426671206454096,1.9374658949022814,1.7771348476370346,1.7377404980011333,3.158208266685906,3.037023107373445,0.3136982677548781
1.0,30,0.3100702218248694,0.6978933452533971,1.6972507429268824,1.2562104792147228,2.8806600843658545,4.685050943540199,0.09807804721712923
1.0,52,0.187113236845634,0.27011168402650954,1.327607224541242,1.1139580963700082,1.7625409426541,5.120366477191147,0.033023373769841956
