series,dosage,M_pre,M_post,replication_age,age_bin,age_over_T,mean_xf,mean_xf_over_mean,weight
M = 0 (no reservoir),3,0,0,0.5,0,0.0125,35.03060437413343,0.6553728369797224,9902.563143886366
M = 0 (no reservoir),3,0,0,0.5,1,0.0375,39.7751986732655,0.7441374552811992,1386.3775217160542
M = 0 (no reservoir),3,0,0,0.5,2,0.0625,40.23838698773746,0.7528030505552418,1382.8778568328144
M = 0 (no reservoir),3,0,0,0.5,3,0.0875,40.93605766974331,0.7658554777774617,1343.577125600069
M = 0 (no reservoir),3,0,0,0.5,4,0.1125,41.424423844692136,0.7749921150487694,1337.8246417098449
M = 0 (no reservoir),3,0,0,0.5,5,0.1375,42.243178871854845,0.7903098583343878,1342.1264115719182
M = 0 (no reservoir),3,0,0,0.5,6,0.1625,42.49362350127124,0.7949953215234886,1346.0076118450124
M = 0 (no reservoir),3,0,0,0.5,7,0.1875,43.43763507648705,0.8126564368609024,1314.1196700432313
M = 0 (no reservoir),3,0,0,0.5,8,0.2125,43.967254775979434,0.8225648689641455,1268.9032761487397
M = 0 (no reservoir),3,0,0,0.5,9,0.2375,44.76095242013669,0.8374138242148164,1205.8940290002513
M = 0 (no reservoir),3,0,0,0.5,10,0.2625,45.254185674103425,0.8466415176194899,1229.5360649854938
M = 0 (no reservoir),3,0,0,0.5,11,0.2875,46.075236025892494,0.862002203167711,1135.7385199369878
M = 0 (no reservoir),3,0,0,0.5,12,0.3125,46.478792703561986,0.8695521752407495,1100.9282784512839
M = 0 (no reservoir),3,0,0,0.5,13,0.3375,47.11111440953027,0.8813820159679706,1030.2548114949238
M = 0 (no reservoir),3,0,0,0.5,14,0.3625,47.999108204568095,0.897995118227321,938.4995904290754
M = 0 (no reservoir),3,0,0,0.5,15,0.3875,48.91649907741176,0.9151581980455729,837.7885620399499
M = 0 (no reservoir),3,0,0,0.5,16,0.4125,49.26123051868329,0.9216076335234563,697.8536071298963
M = 0 (no reservoir),3,0,0,0.5,17,0.4375,50.0551125674289,0.9364600387219765,554.89279566018
M = 0 (no reservoir),3,0,0,0.5,18,0.4625,50.81234676005202,0.9506268146010679,362.4158394644708
M = 0 (no reservoir),3,0,0,0.5,19,0.4875,51.45975724702438,0.9627389449830032,131.82064205339233
M = 0 (no reservoir),3,0,0,0.5,20,0.5125,46.853766094539594,0.8765673946304087,5463.460256037188
M = 0 (no reservoir),3,0,0,0.5,21,0.5375,51.85352166091008,0.9701057177133213,1466.0161631811432
M = 0 (no reservoir),3,0,0,0.5,22,0.5625,53.080222917829396,0.9930555553549304,1455.3340008975053
M = 0 (no reservoir),3,0,0,0.5,23,0.5875,54.10375465188324,1.0122043798833749,1449.734190776114
M = 0 (no reservoir),3,0,0,0.5,24,0.6125,55.6516594970759,1.0411634803012269,1452.4893238050838
M = 0 (no reservoir),3,0,0,0.5,25,0.6375,56.58760338248647,1.0586736606248148,1459.0440604505156
M = 0 (no reservoir),3,0,0,0.5,26,0.6625,57.64105024076632,1.078382154624651,1457.4745040612822
M = 0 (no reservoir),3,0,0,0.5,27,0.6875,58.78232348133878,1.0997337554550182,1438.7628438025456
M = 0 (no reservoir),3,0,0,0.5,28,0.7125,60.13983013126753,1.1251307761538554,1439.3541470441637
M = 0 (no reservoir),3,0,0,0.5,29,0.7375,61.517173383874365,1.150898911505307,1433.030817573818
M = 0 (no reservoir),3,0,0,0.5,30,0.7625,62.40113965232084,1.1674366644643717,1433.4639511659652
M = 0 (no reservoir),3,0,0,0.5,31,0.7875,63.39745262707045,1.1860762646781635,1420.6513305486224
M = 0 (no reservoir),3,0,0,0.5,32,0.8125,65.15805463803947,1.2190146268713369,1399.1190678680268
M = 0 (no reservoir),3,0,0,0.5,33,0.8375,66.04309302341397,1.2355724376148802,1370.636298181166
M = 0 (no reservoir),3,0,0,0.5,34,0.8625,67.53392165567902,1.2634637231817256,1341.3605626206686
M = 0 (no reservoir),3,0,0,0.5,35,0.8875,69.08782876678691,1.2925351174669388,1247.6927643348556
M = 0 (no reservoir),3,0,0,0.5,36,0.9125,70.23545965122001,1.314005660781111,1142.4435015876863
M = 0 (no reservoir),3,0,0,0.5,37,0.9375,71.84681853770617,1.3441518961571899,977.1814808669386
M = 0 (no reservoir),3,0,0,0.5,38,0.9625,73.5280857101244,1.375606016238607,714.2174544351957
M = 0 (no reservoir),3,0,0,0.5,39,0.9875,74.88307285942273,1.4009559006603107,288.5332807615056
"M = 141, replicating",3,141,282,0.5,0,0.0125,41.04467206143044,0.7906148990528106,6848.389842464245
"M = 141, replicating",3,141,282,0.5,1,0.0375,44.322847006896005,0.8537600972823804,1473.4852580630745
"M = 141, replicating",3,141,282,0.5,2,0.0625,45.24996353299544,0.8716184964820438,1444.5720698786079
"M = 141, replicating",3,141,282,0.5,3,0.0875,46.036397919442244,0.8867670337178077,1448.3262148460437
"M = 141, replicating",3,141,282,0.5,4,0.1125,46.50097820523547,0.8957159198291307,1474.3087892120193
"M = 141, replicating",3,141,282,0.5,5,0.1375,47.79084108352106,0.9205616490819176,1450.000136054218
"M = 141, replicating",3,141,282,0.5,6,0.1625,48.28406667992237,0.9300623098382139,1436.674212421214
"M = 141, replicating",3,141,282,0.5,7,0.1875,48.92271497303552,0.9423641466036337,1437.1862430541569
"M = 141, replicating",3,141,282,0.5,8,0.2125,49.70068641783495,0.9573496680953271,1407.558742748434
"M = 141, replicating",3,141,282,0.5,9,0.2375,50.46842309035004,0.9721380443048191,1421.521966794259
"M = 141, replicating",3,141,282,0.5,10,0.2625,51.19289784747444,0.9860930964030049,1368.9997548821884
"M = 141, replicating",3,141,282,0.5,11,0.2875,51.99433820335342,1.0015306831648572,1363.2088485368047
"M = 141, replicating",3,141,282,0.5,12,0.3125,52.9002868601195,1.0189813404570909,1306.4030556032244
"M = 141, replicating",3,141,282,0.5,13,0.3375,53.70538885276335,1.0344894587748268,1249.8325993847793
"M = 141, replicating",3,141,282,0.5,14,0.3625,54.1464949296534,1.0429861775677083,1187.0938467732776
"M = 141, replicating",3,141,282,0.5,15,0.3875,55.176767533911004,1.0628316003741785,1084.26423445935
"M = 141, replicating",3,141,282,0.5,16,0.4125,56.38020722544267,1.0860126200400788,949.4473350852637
"M = 141, replicating",3,141,282,0.5,17,0.4375,56.92895371536908,1.096582741055772,772.2127395664428
"M = 141, replicating",3,141,282,0.5,18,0.4625,57.89300768954388,1.1151526405626533,526.0462997561889
"M = 141, replicating",3,141,282,0.5,19,0.4875,58.599471358577965,1.1287607576293925,200.46781041614756
"M = 141, replicating",3,141,282,0.5,20,0.5125,40.21557131389426,0.7746445094529897,4190.690378363344
"M = 141, replicating",3,141,282,0.5,21,0.5375,43.268447145645254,0.8334499279474568,1479.9963028390305
"M = 141, replicating",3,141,282,0.5,22,0.5625,44.563526411851484,0.858396136843573,1474.145217916221
"M = 141, replicating",3,141,282,0.5,23,0.5875,45.53120164227243,0.8770357900845617,1482.558449146764
"M = 141, replicating",3,141,282,0.5,24,0.6125,46.80511248258634,0.9015742463526408,1485.9674433936161
"M = 141, replicating",3,141,282,0.5,25,0.6375,47.66146752403249,0.9180696164126817,1470.0394081247648
"M = 141, replicating",3,141,282,0.5,26,0.6625,48.96421130813605,0.9431634615728814,1470.615335049083
"M = 141, replicating",3,141,282,0.5,27,0.6875,50.07515433281938,0.9645627824396401,1464.8019496228837
"M = 141, replicating",3,141,282,0.5,28,0.7125,51.07613361250807,0.9838439483600446,1483.0238476699103
"M = 141, replicating",3,141,282,0.5,29,0.7375,52.27133317471228,1.0068662441602345,1495.122422347885
