kind,case,kd,M,p,xf,g
meanfield,decoy,30.0,5,0.8670594044874496,195.66470297756274,1.0191548111220547
meanfield,iteron,30.0,5,0.8670594044874496,195.66470297756274,0.9970631170317544
meanfield,decoy,30.0,6,0.866548463728568,194.8007092176286,1.023046356793468
meanfield,iteron,30.0,6,0.866548463728568,194.8007092176286,0.9964507793293934
meanfield,decoy,30.0,7,0.8660342055541282,193.9377605611211,1.0269582007353457
meanfield,iteron,30.0,7,0.8660342055541282,193.9377605611211,0.9958298682024562
meanfield,decoy,30.0,8,0.8655166048137235,193.0758671614902,1.0308903826215003
meanfield,iteron,30.0,8,0.8655166048137235,193.0758671614902,0.9952002728654331
meanfield,decoy,30.0,9,0.8649956362179267,192.21503927403865,1.0348429395744323
meanfield,iteron,30.0,9,0.8649956362179267,192.21503927403865,0.9945618813638056
meanfield,decoy,30.0,10,0.8644712743399562,191.35528725660043,1.0388159060803246
meanfield,iteron,30.0,10,0.8644712743399562,191.35528725660043,0.9939145805736309
meanfield,decoy,30.0,11,0.8639434936174397,190.49662157020816,1.0428093139023187
meanfield,iteron,30.0,11,0.8639434936174397,190.49662157020816,0.9932582562016921
meanfield,decoy,30.0,12,0.863412268354282,189.63905277974862,1.0468231919920588
meanfield,iteron,30.0,12,0.863412268354282,189.63905277974862,0.9925927927862347
meanfield,decoy,30.0,13,0.8628775727226344,188.78259155460574,1.0508575663994986
meanfield,iteron,30.0,13,0.8628775727226344,188.78259155460574,0.9919180736983175
meanfield,decoy,30.0,15,0.8617976663962914,187.0730350040556,1.0589878933054373
meanfield,iteron,30.0,15,0.8617976663962914,187.0730350040556,0.990540396165996
meanfield,decoy,30.0,17,0.8607035654623169,185.3680393871406,1.067200441448327
meanfield,iteron,30.0,17,0.8607035654623169,185.3680393871406,0.9891242673218366
meanfield,decoy,30.0,19,0.8595950587812982,183.66769388315532,1.075495305162404
meanfield,iteron,30.0,19,0.8595950587812982,183.66769388315532,0.9876687124066958
meanfield,decoy,30.0,21,0.8584719333336861,181.9720893999926,1.0838725230925335
meanfield,iteron,30.0,21,0.8584719333336861,181.9720893999926,0.9861727383519502
meanfield,decoy,30.0,23,0.8573339743109933,180.28131859084715,1.092332074886192
meanfield,iteron,30.0,23,0.8573339743109933,180.28131859084715,0.9846353339977935
meanfield,decoy,30.0,26,0.8555987487992968,177.7544325312183,1.105175579577787
meanfield,iteron,30.0,26,0.8555987487992968,177.7544325312183,0.9822492899760491
meanfield,decoy,30.0,29,0.8538289230276347,175.2389612321986,1.1182035723693498
meanfield,iteron,30.0,29,0.8538289230276347,175.2389612321986,0.9797641623406923
meanfield,decoy,30.0,32,0.8520237526897803,172.73523991392705,1.1314151300401654
meanfield,iteron,30.0,32,0.8520237526897803,172.73523991392705,0.9771763196486747
meanfield,decoy,30.0,36,0.8495605808164642,169.41581909060727,1.1493137543641325
meanfield,iteron,30.0,36,0.8495605808164642,169.41581909060727,0.9735596554385026
meanfield,decoy,30.0,40,0.8470314479804144,166.11874208078342,1.1675320381861007
meanfield,iteron,30.0,40,0.8470314479804144,166.11874208078342,0.9697447676124413
meanfield,decoy,30.0,45,0.8437745291784019,162.03014618697193,1.1907454940420765
meanfield,iteron,30.0,45,0.8437745291784019,162.03014618697193,0.9646833323555787
meanfield,decoy,30.0,50,0.8404082057734575,157.97958971132712,1.2144345083117603
meanfield,iteron,30.0,50,0.8404082057734575,157.97958971132712,0.9592793267718458
meanfield,decoy,30.0,55,0.8369289653113875,153.9689069078737,1.2385799454330153
meanfield,iteron,30.0,55,0.8369289653113875,153.9689069078737,0.9535140015816762
meanfield,decoy,30.0,62,0.8318617246305966,148.424573072903,1.2731038396502825
meanfield,iteron,30.0,62,0.8318617246305966,148.424573072903,0.9447994693878338
meanfield,decoy,30.0,69,0.8265570742053772,142.96756187982896,1.308391596797429
meanfield,iteron,30.0,69,0.8265570742053772,142.96756187982896,0.9352877828909232
meanfield,decoy,30.0,77,0.8201925788826373,136.84517142603693,1.34951966760983
meanfield,iteron,30.0,77,0.8201925788826373,136.84517142603693,0.9233762512843777
meanfield,decoy,30.0,86,0.8126329873529913,130.11356308764277,1.3965702581045567
meanfield,iteron,30.0,86,0.8126329873529913,130.11356308764277,0.9085636619210639
meanfield,decoy,30.0,96,0.803720002833083,122.84287972802403,1.4494089697155597
meanfield,iteron,30.0,96,0.803720002833083,122.84287972802403,0.8902478587174386
meanfield,decoy,30.0,107,0.7932740680529525,115.11967471833408,1.5075380020765343
meanfield,iteron,30.0,107,0.7932740680529525,115.11967471833408,0.8677364221228894
meanfield,decoy,30.0,119,0.7811002942399752,107.04906498544297,1.569908036536957
meanfield,iteron,30.0,119,0.7811002942399752,107.04906498544297,0.8402859371220696
meanfield,decoy,30.0,133,0.7658778602905506,98.13824458135676,1.6395278798152275
meanfield,iteron,30.0,133,0.7658778602905506,98.13824458135676,0.8045019403363004
meanfield,decoy,30.0,148,0.7483998650251716,89.2368199762746,1.7078711791795376
meanfield,iteron,30.0,148,0.7483998650251716,89.2368199762746,0.762024964795561
meanfield,decoy,30.0,165,0.7272727272727273,80.0,1.774193548387097
meanfield,iteron,30.0,165,0.7272727272727273,80.0,0.7096774193548387
meanfield,decoy,30.0,185,0.7009626373980168,70.3219120813669,1.8331720748717137
meanfield,iteron,30.0,185,0.7009626373980168,70.3219120813669,0.644560827395728
meanfield,decoy,30.0,206,0.6722156242316303,61.52358140828417,1.8706626144059102
meanfield,iteron,30.0,206,0.6722156242316303,61.52358140828417,0.5754493182241786
meanfield,decoy,30.0,230,0.6388424407426924,53.066238629180745,1.8844373104863459
meanfield,iteron,30.0,230,0.6388424407426924,53.066238629180745,0.5
meanfield,decoy,30.0,256,0.6031461631752668,45.594582227131696,1.8714156886987519
meanfield,iteron,30.0,256,0.6031461631752668,45.594582227131696,0.42663208249759765
meanfield,decoy,30.0,286,0.5637490796250925,38.767763227223554,1.8330885792729432
meanfield,iteron,30.0,286,0.5637490796250925,38.767763227223554,0.3553237200789054
meanfield,decoy,30.0,319,0.5235984658307443,32.9720893999926,1.7770757576804819
meanfield,iteron,30.0,319,0.5235984658307443,32.9720893999926,0.2929695037640021
meanfield,decoy,30.0,356,0.4830532209643777,28.033053336681547,1.7104131554252062
meanfield,iteron,30.0,356,0.4830532209643777,28.033053336681547,0.23974051606898295
meanfield,decoy,30.0,397,0.4435448373837148,23.912699558665253,1.6407242598641993
meanfield,iteron,30.0,397,0.4435448373837148,23.912699558665253,0.19617073142373004
meanfield,decoy,30.0,442,0.4060814923707899,20.5119803721108,1.5734002572875
meanfield,iteron,30.0,442,0.4060814923707899,20.5119803721108,0.1613677759747765
