M,kd,beta,p,Ff,FT,mf,mT,eps_thin,eps_lna,thin_pred,lna_pred,CV2f,thin_err,lna_err,hybrid_pred,hyb_err
2,3.0,0.0,0.7162507903546917,4.862252054919023,4.532498948219004,9.999999999999734,11.432501580709117,0.6,0.9609405355698162,3.1194993689314026,4.843762142279265,0.4862252054919152,-0.451227071979423,-0.004787339711868177,4.394521431201382,-0.12110308106948431
3,3.0,0.0,0.7178653675523883,4.799674933451666,4.336730931460473,9.999999999999755,12.15359610265692,0.5,0.9427199542616785,2.6683654657302367,4.770879817046714,0.4799674933451784,-0.5609188957080927,-0.0075783104895224,4.1456028310899455,-0.17213896288953168
4,3.0,0.0,0.7193028740601645,4.740374945110423,4.1613530929828695,9.999999999999769,12.877211496240427,0.42857142857142855,0.925272666484402,2.3548656112783726,4.701090665937608,0.47403749451105326,-0.6377727818304658,-0.010502765030059091,3.9251136060429714,-0.217962463932445
5,3.0,0.0,0.7206020653368965,4.683913424687474,4.003435771061083,9.999999999999769,13.603010326684252,0.375,0.9085397026913401,2.126288414147906,4.63415881076536,0.4683913424687582,-0.6942684899704301,-0.013505912920940832,3.7287406424923724,-0.2592820927316266
7,3.0,0.0,0.722883354564466,4.578238526534348,3.730703748219231,9.999999999999789,15.06018348195105,0.3,0.8770190348233732,1.8192111244657694,4.508076139293493,0.45782385265344444,-0.7710574299642331,-0.019608079987001314,3.3948791656517976,-0.330710027324164
10,3.0,0.0,0.725733984035631,4.434541792460964,3.40384561358348,9.999999999999773,17.25733984035609,0.23076923076923078,0.8339976343753239,1.5547336031346493,4.335990537501296,0.4434541792461064,-0.8384839560396893,-0.02869414929700209,3.004801555132121,-0.41628267283490705
14,3.0,0.0,0.7288183250418074,4.264493515758691,3.0741269056134666,9.999999999999769,20.203456550585074,0.17647058823529413,0.7832699529899256,1.3660223951082588,4.1330798119597025,0.4264493515758789,-0.8878777386625647,-0.040255464795569296,2.624601283855,-0.5023420092542498
20,3.0,0.0,0.7324624937697631,4.044024838011681,2.722354705473921,9.999999999999762,24.64924987539503,0.13043478260869565,0.7184308664185219,1.224654961583555,3.8737234656740878,0.4044024838011777,-0.9261980524014722,-0.05594611785389758,2.2373927833336476,-0.5935010884661844
28,3.0,0.0,0.7361833370272098,3.7970734677883775,2.4078700661582437,9.99999999999974,30.613133436761615,0.0967741935483871,0.6477486039928005,1.1362454902733785,3.590994415971202,0.3797073467788476,-0.9512899851067885,-0.07367666748493396,1.911945869957254,-0.6739642771420223
39,3.0,0.0,0.7400243874829471,3.5192364453835134,2.1296836145987865,9.99999999999972,38.86095111183465,0.07142857142857142,0.5713259468217586,1.0806916867570562,3.2853037872870345,0.3519236445383612,-0.9679697842951887,-0.09285855582359459,1.6454175607196784,-0.7438042935976088
54,3.0,0.0,0.743862135238606,3.219121893748453,1.895632290756131,9.999999999999698,50.16855530288443,0.05263157894736842,0.4928854939749484,1.0471385416187438,2.9715419758997936,0.321912189374855,-0.9787580205704162,-0.11156661495077091,1.4414441640492501,-0.8010725930410338
74,3.0,0.0,0.7475315557057615,2.912535658893213,1.7089071521864958,9.999999999999611,65.31733512222596,0.03896103896103896,0.4172598442903409,1.0276197591760972,2.6690393771613636,0.29125356588933266,-0.9855585651186861,-0.12731594341763064,1.2957984879376463,-0.8453370076724085
103,3.0,0.0,0.7512163562663194,2.5878701040602596,1.5538312695927445,9.999999999999526,87.37528469543044,0.02830188679245283,0.3418837868830023,1.0156744698941342,2.367535147532009,0.2587870104060383,-0.9901286195551803,-0.13876132308609102,1.1893459317425885,-0.8807547725355985
144,3.0,0.0,0.754662277965463,2.272778435137614,1.434927717630963,9.9999999999993,118.67136802702598,0.02040816326530612,0.2727680449877244,1.0088760758700197,2.0910721799508973,0.22727784351377733,-0.9930262207270506,-0.14276346155021913,1.1186343832491707,-0.9067910172155424
200,3.0,0.0,0.7576669596296651,1.9934095037217157,1.3497132294763683,9.99999999999907,161.53339192593208,0.014778325123152709,0.21403400609163667,1.0051681758050695,1.8561360243665468,0.1993409503721901,-0.9947975373844247,-0.13818418169031665,1.074850523488071,-0.9246529017412753
277,3.0,0.0,0.7602237496925437,1.7565722643033066,1.289544238884806,9.999999999998757,220.58197866483331,0.010714285714285714,0.16530959275772245,1.0031022597023371,1.6612383710308898,0.1756572264303525,-0.9958995857385892,-0.12600765025427607,1.047864440215392,-0.9367351375754327
385,3.0,0.0,0.7623627154611355,1.562539088332464,1.24726691334815,9.999999999998346,303.50964545253555,0.007731958762886598,0.12539368109306717,1.0019118575774342,1.5015747243722686,0.15625390883327223,-0.99660137825604,-0.10837356056609715,1.031005708477245,-0.9448825706153943
535,3.0,0.0,0.7640724087709858,1.4123603003008594,1.2183813406535466,9.999999999997335,418.7787386924747,0.0055762081784386614,0.09394771605222765,1.0012177398177706,1.3757908642089105,0.14123603003012358,-0.9970469033588293,-0.08868321238797161,1.0205164281828243,-0.9502463545403003
744,3.0,0.0,0.7654047350527208,1.2994597431502617,1.1986741669742522,9.999999999996202,579.4611228792205,0.004016064257028112,0.0696413345225769,1.0007978882207802,1.2785653380903077,0.1299459743150755,-0.9973355743500393,-0.06977366920891825,1.0138359341232481,-0.9537970146581419
1033,3.0,0.0,0.7664135754393304,1.2167904578223363,1.185262457363555,9.999999999994529,801.7052234288228,0.0028957528957528956,0.0513000477474001,1.0005364742973848,1.2052001909896004,0.12167904578230021,-0.9975253786408604,-0.05346299347840455,1.009503972908551,-0.9561605570465662
1436,3.0,0.0,0.7671718312318411,1.1563745442490185,1.175977225989299,9.999999999992443,1111.6587496489165,0.0020847810979847115,0.03752384791262905,1.0003668739944183,1.150095391650516,0.11563745442498924,-0.9976538764913423,-0.040154570097439835,1.0066033426641088,-0.9577722659668105
1995,3.0,0.0,0.7677319154435591,1.1127227041777474,1.1695292573470555,9.999999999989425,1541.6251713098898,0.0015015015015015015,0.027341256033232307,1.000254548434455,1.1093650241329291,0.1112722704178924,-0.9977418175308006,-0.02978707855982332,1.0046351428302496,-0.9588801309899324
2,3.0,1.0,0.669748095655194,5.3228047338757305,4.99999999999281,8.66050380868909,9.999999999999478,0.6,0.9514031370118096,3.399999999995686,4.805612548047238,0.6146068232814997,-0.4448049015057177,-0.11964273606334974,4.805612548040398,-0.11964273606493203
3,3.0,1.0,0.6486353952695731,5.441125307881906,4.99999999999281,8.054093814190757,9.999999999999478,0.5,0.9217513245060449,2.999999999996405,4.68700529802418,0.6755726259725233,-0.549663686262827,-0.16980381267768974,4.687005298017553,-0.16980381267918188
4,3.0,1.0,0.6277858135368587,5.530571949054268,4.99999999999281,7.488856745852043,9.999999999999478,0.42857142857142855,0.8890391503192592,2.714285714282633,4.556156601277037,0.7385068424653152,-0.621618256246768,-0.21507557075230543,4.5561566012706445,-0.2150755707537163
5,3.0,1.0,0.6073144470477093,5.59187548988521,4.99999999999281,6.963427764760932,9.999999999999478,0.375,0.8537959060586172,2.499999999997304,4.415183624234469,0.8030348958573837,-0.6733360903836698,-0.2562551768319301,4.41518362422833,-0.25625517683326715
7,3.0,1.0,0.5678469472032883,5.635336423773412,4.99999999999281,6.02507136957646,9.999999999999478,0.3,0.7781465760419848,2.199999999997843,4.112586304167939,0.9353144681785828,-0.7411191140640061,-0.32850908335276185,4.1125863041623445,-0.3285090833539688
10,3.0,1.0,0.5131100264894949,5.529924481965999,4.99999999999281,4.868899735104529,9.999999999999478,0.23076923076923078,0.6608904722679176,1.9230769230752638,3.6435618890716706,1.13576470718744,-0.7962268627766073,-0.4164225254535904,3.643561889066919,-0.4164225254546393
14,3.0,1.0,0.4492580331322821,5.158485388769365,4.99999999999281,3.710387536147529,9.999999999999478,0.17647058823529413,0.5171746780911742,1.7058823529399079,3.068698712364697,1.390282103557675,-0.8302549397320831,-0.5025355342232201,3.0686987123609786,-0.5025355342241142
20,3.0,1.0,0.37205791280032074,4.359841225117122,4.99999999999281,2.558841743993062,9.999999999999478,0.13043478260869565,0.35384865356357953,1.5217391304338448,2.415394614254318,1.703833867550405,-0.8447131589036153,-0.578731696107164,2.415394614251774,-0.5787316961079212
