regime,dosage,M,cc_rep,cc_ctl
dilution,0,0,0.04378818864782858,
dilution,0,19,0.03425192170168233,0.045322501446855075
dilution,0,38,0.027669163970172137,0.04554308552107232
dilution,0,73,0.020048991323885084,0.04653370909090505
dilution,0,141,0.015216050613037413,0.04798310406891617
dilution,0,274,0.01735423763607658,0.04974667023131786
dilution,0,531,0.027287379485826626,0.05165733644792304
dilution,0,1029,0.04015970034608072,0.05305437480104751
dilution,0,1995,0.051130101908081434,0.05402116072733977
dilution,3,0,0.04909202337158008,
dilution,3,19,0.038845783162247835,0.050949595669048324
dilution,3,38,0.031773797044606374,0.05054847872020115
dilution,3,73,0.023155221198210528,0.049635453332390445
dilution,3,141,0.016285667632505076,0.04862262305387892
dilution,3,274,0.0158172192249249,0.048118044752508
dilution,3,531,0.022867797698040718,0.047966467528971796
dilution,3,1029,0.03320595725459971,0.048190356212661045
dilution,3,1995,0.042323438284436216,0.04827458461887967
active-deg,0,0,0.023684541624261937,
active-deg,0,19,0.017962294752503497,0.024049936145494385
active-deg,0,38,0.014959961496224663,0.02480307312395175
active-deg,0,73,0.01339785528260501,0.02574467367637474
active-deg,0,141,0.017286911280440145,0.027114863791541655
active-deg,0,274,0.0304813254396301,0.02858855178199914
active-deg,0,531,0.05085070573833568,0.029911534255766117
active-deg,0,1029,0.07199378129536502,0.03067228787985668
active-deg,0,1995,0.08821935815105816,0.031202880912676333
active-deg,3,0,0.06984810509068261,
active-deg,3,19,0.057711688066778795,0.024408298044199646
active-deg,3,38,0.04889737465853285,0.024928936233213815
active-deg,3,73,0.03735174229106114,0.02545694763323429
active-deg,3,141,0.025144683263021536,0.02629352609492267
active-deg,3,274,0.017520476027352,0.027137176490253902
active-deg,3,531,0.016585453224806042,0.027813740507928994
active-deg,3,1029,0.020318602371513228,0.02839212721949366
active-deg,3,1995,0.024743883420810953,0.0286240946500528
