iterons_per_plasmid,copy_number,M_mean,rep_per_plasmid,kd,mean_free_initiator,occupancy,g_coscaling,g_fixed,ratio,g_coscaling_meanfield,chi_over_xf,typical_array
1,10,10,5.0,1.0,40.28048200524315,0.9704658584308348,0.99211286234895,1.2263887021577609,1.236138295046527,0.9941552638119425,0.005879097964684766,False
1,10,10,5.0,3.0,40.7679788169857,0.9196731882039456,0.9811536398851152,1.1957059768100047,1.2186735371536834,0.9845243435705195,0.015718916988233883,False
1,10,10,5.0,10.0,42.047933605640225,0.7879660774386542,0.9616431900105662,1.1343306961954718,1.1795754475035674,0.9642383454426298,0.03708798216373992,False
1,10,10,5.0,30.0,44.13552561119873,0.5765836716066206,0.9490784358939086,1.0672513327995334,1.1245133093708122,0.9481290797651359,0.05470871144223654,False
2,10,20,5.0,1.0,30.83542888891563,0.9559316013314091,0.9679394911309858,1.5308253003892538,1.5815299555559676,0.9804036887146512,0.019988002402398397,False
2,10,20,5.0,3.0,32.037754159104246,0.8937388393305743,0.940003533758756,1.430622296117459,1.5219328914614658,0.9526071951899324,0.04975062654299857,False
2,10,20,5.0,10.0,34.818382686044785,0.7515796407650761,0.9034082964549195,1.2701895799622054,1.4059972494680189,0.908248290463863,0.10102051443364381,False
2,10,20,5.0,30.0,38.90438563959451,0.5454492034802697,0.8905349661566077,1.1269748430310236,1.265503192867147,0.8872983346207417,0.12701665379258312,False
3,10,30,5.0,1.0,22.108036214007587,0.9264109967458252,0.9010677769619639,1.9004455103650708,2.10910384208012,0.9433103474667865,0.06009650237109216,True
3,10,30,5.0,3.0,24.199247189379918,0.8549750671270452,0.8608273790285768,1.6838621244815815,1.9560973146344158,0.8856976207706841,0.1290535014984644,True
3,10,30,5.0,10.0,28.490007416047366,0.7095860416233617,0.824178887079777,1.3957288811728317,1.6934780823107047,0.8273268353539884,0.20871215252208003,True
3,10,30,5.0,30.0,34.30874182176425,0.5143682018363215,0.8269025572908295,1.1775238735300553,1.424017694887729,0.82009219983224,0.21937509002592936,True
4,10,40,5.0,1.0,14.779758088107311,0.8765724145676936,0.7628543302502621,2.2993897834288264,3.0141924771856354,0.8281024924495415,0.20757999054197118,True
4,10,40,5.0,3.0,17.66498995590112,0.8031654017356236,0.7358859121673202,1.9250909379472987,2.616018198089361,0.7551473183931293,0.324244919690492,True
4,10,40,5.0,10.0,23.167215270883077,0.6638451348113346,0.728342277482625,1.5005926150444262,2.060284925695836,0.723606797749979,0.38196601125010515,True
4,10,40,5.0,30.0,30.322213865480137,0.4840019381777608,0.7611299945585795,1.2182043535139024,1.6005207549603995,0.75,0.3333333333333333,True
5,10,50,5.0,1.0,9.338326623970675,0.8094689111224131,0.5500267091676356,2.678275826848894,4.8693559461902725,0.53526728079293,0.8682255312124219,True
5,10,50,5.0,3.0,12.643581809151755,0.742335721540182,0.5756326905802773,2.122660496892702,3.6875259720793725,0.5607830673854831,0.7832207464149387,True
5,10,50,5.0,10.0,18.847590146262856,0.6167676598707321,0.6246436881319035,1.578011436909854,2.52625851648185,0.6091089451179962,0.6417424305044162,True
5,10,50,5.0,30.0,26.896566841646358,0.4548805976981833,0.6960034090505318,1.249153301628029,1.794751700041367,0.6805787796286538,0.46933761370819255,True
