M,beta,kx,mf,p,eps,CV2_int,CV2_ext,CV2_tot,gain,g_th
1,0.0,1.9999694015850997,9.99984700792509,0.45624657431523835,0.9757916404880189,0.4912881241717353,0.01000000000000332,0.5012881241717386,1.0000000000001659,1.0
2,0.0,1.999969401585095,9.9998470079251,0.4573527260571073,0.9527103166665556,0.48300972135880704,0.010000000000001591,0.49300972135880866,1.0000000000000795,1.0
3,0.0,1.9999694015850902,9.999847007925151,0.4583868956162926,0.930681324559392,0.4751293601798231,0.01000000000000127,0.4851293601798244,1.0000000000000635,1.0
6,0.0,1.9999694015850793,9.999847007925139,0.46113639159426784,0.8702492688708887,0.45354009551936436,0.010000000000000456,0.4635400955193648,1.0000000000000226,1.0
10,0.0,1.9999694015850715,9.999847007925108,0.4641784626182871,0.8008196403831128,0.428625789383956,0.010000000000001015,0.438625789383957,1.0000000000000506,1.0
18,0.0,1.9999694015850784,9.999847007925165,0.46886281217241826,0.6904829357332181,0.38832415038826423,0.010000000000000446,0.39832415038826463,1.0000000000000222,1.0
32,0.0,1.9999694015850769,9.999847007925188,0.4744830012764015,0.5561956030348654,0.3372883313990627,0.00999999999999987,0.3472883313990626,0.9999999999999934,1.0
56,0.0,1.9999694015850809,9.999847007925187,0.48039795035493593,0.41703684936761415,0.28121556939480463,0.010000000000000106,0.29121556939480475,1.0000000000000053,1.0
100,0.0,1.9999694015850942,9.999847007925005,0.48620978653213454,0.2858664875962598,0.22503519452774243,0.009999999999998893,0.23503519452774133,0.9999999999999446,1.0
178,0.0,1.9999694015851281,9.999847007925254,0.4909750804306278,0.18353276947559788,0.17951449277338621,0.00999999999999845,0.18951449277338467,0.9999999999999224,1.0
316,0.0,1.999969401585061,9.999847007924995,0.4944159631412599,0.11237046544428941,0.1478140334135362,0.009999999999998059,0.15781403341353425,0.999999999999903,1.0
562,0.0,1.9999694015851375,9.99984700792474,0.49668194236419744,0.0664469654745952,0.12778997206113651,0.009999999999993433,0.13778997206112995,0.9999999999996716,1.0
1000,0.0,1.9999694015850495,9.999847007924913,0.4980746756000877,0.03846152101633388,0.11588554254570436,0.009999999999997585,0.12588554254570195,0.9999999999998792,1.0
1,1.0,2.0909349596895748,9.999759266375047,0.4549155320722842,0.9758026927290037,0.5022048280383333,0.010377660961070791,0.5125824889994042,1.0187080524404817,1.0199922287717984
2,1.0,2.181974570879894,10.000163198459216,0.4548548279699355,0.9527515515365594,0.5038538756817218,0.010746482497004382,0.5146003581787262,1.0366524247308921,1.0390193607690386
3,1.0,2.2729076550137037,10.00003122591978,0.45483568304944616,0.9307625966500014,0.5050834816912989,0.011107201140111564,0.5161906828314106,1.0539070708611629,1.0571632803883035
6,1.0,2.5460383497084362,10.00000007314526,0.4550319458994263,0.8704835977382801,0.506658109301993,0.012146260692612421,0.5188043699946053,1.1021007527722873,1.1069731884845198
10,1.0,2.9113064846551726,10.00000019829756,0.4556532224977805,0.8012606339918882,0.5053257149357046,0.01344499442046956,0.5187707093561741,1.1595255245344778,1.1645225753882704
18,1.0,3.6467317672988373,9.999797307466375,0.457436751612631,0.691205321404771,0.4961865875040967,0.01579897295487465,0.5119855604589714,1.2569396546721983,1.2575112913948054
32,1.0,4.950050976549729,9.999885140937486,0.46094905443157796,0.5570629653214498,0.4720066528869495,0.019301885888059006,0.4913085387750085,1.389312271883431,1.3750229342753306
56,1.0,7.223252959889357,9.99998607835936,0.46636212001939803,0.4177693163503746,0.4277159844761892,0.023967698867735362,0.45168368334392456,1.5481504729106716,1.504845239557104
100,1.0,11.472458323061336,9.999989777854204,0.47362301837451065,0.2862831633371761,0.36079798302561983,0.02970720509617278,0.39050518812179263,1.7235778223269402,1.6389230962464802
178,1.0,19.133328979603583,10.000006700577392,0.48127324830017926,0.1836967408896805,0.2848759423909548,0.03525349660204454,0.32012943899299934,1.8775914518884171,1.7553510667183925
316,1.0,32.832560671924504,9.99998760472453,0.48785701188252356,0.11241828218934022,0.2175007841748614,0.039458808463406325,0.25695959263826773,1.986424135561344,1.8445261373378374
562,1.0,57.37172633759705,9.999767026759603,0.4926314317816522,0.06645721196485448,0.16883486871018077,0.042016039230707694,0.21085090794088848,2.0497814329998136,1.9060403706364681
1000,1.0,101.13974978532767,10.000027508574636,0.49569872141798393,0.03846437723007351,0.13848192078293808,0.04336774281958511,0.1818496636025232,2.082492324585738,1.9449949823978416
